Case Number,Account Name,Person Type,message,Score,Review,Correct/Incorrect
TS002020055,CEVA LOGISTICS,Customer,"We are still testing.
",-0.7022119657481195,,
TS001803786,Atalanta Corporation,Customer,"sorry more changes:
When IT105 = PP, you will need to send the PO4 segment as well. Please add the PO4 segment for each item you send PP in IT105 for.

N103 and N104 when N101 = VN are not required to be sent. You may remove them from your data.


",-0.7941167433880018,,
TS001961135,Leggett & Platt Incorporated,Customer,"Hello,

I have uploaded an updated PER for this Map. Can you please ?update the Client ID from 010812538 to 080910068.

Thank you,
Colin Nichols
",0.619652425743202,,
TS001529916,Tesla Motors,Customer,"Hi Albert,

TP has transmitted a dummy file in CTE on Turkey time at 01:37pm without any issues at their end. Attached the file for reference.
Please verify now.

Regards,
Arjun
",0.737557158354622,,
TS001850415,Lindt & Sprüngli International AG,Customer,"<p>Hi Alagappan,</p><p></p><p>I contacted Flemming from Forode. See below his answer:</p><p>------------------------</p><p><i>yes this is correct</i></p><p><i>QAS - FL_ LNT_T28DJRXC</i></p><p><i>PROD - FL_LNT_P6T4AGNT</i></p><p></p><p><i>Hilsen/Best Regards</i></p><p></p><p><i>Flemming Siegfredsen</i></p><p><i>Frode Laursen</i></p><p><i>IT</i></p><p><i>+45 87 64 64 40</i></p><p>-----------</p><p>Dear Bjarne&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p><p>&nbsp;</p><p>I hope you are doing well. </p><p>&nbsp;</p><p>As you might know, we plan to set the first interface from Lindt Sweden to Frode Laursen (PRICAT-2-FL) today live. IBM is our partner that make all necessary connections to external partners. I have been asked by IBM what exactly FL means by ?preferring to have two separate As2 Channels/ID using The same GLN.?? Probably, it means to use two different IDs for QAS and PROD environments? Is that correct? </p><p>Thanks for your answer in advance. &nbsp;</p><p>Best, </p><p>Hamed</p><p>------------------------</p>",0.6516447438202395,,
TS001985818,Innovative Hearth Products,Customer,"I just attached outbound 810 file. Please process and send to CUI. Please send me the processing ID once done
",-0.8317245605507675,,
TS001803786,Atalanta Corporation,Customer,"good send to production.

thank you
",0.9549254726315662,,
TS001850415,Lindt & Sprüngli International AG,Customer,"Hi Alagappan,

Thanks for your understanding and cooperation. I'll keep PER Form as up to date as possible.

Regarding your question about the number of AS2 connection. I think Frode Laursen prefers to have two separate AS2 Channels or ID. I dont know the process behind AS2 Channel creation on IBM but in SAP PO world we are able to create one channel and use two different IDs. I think the fastest way to understand Frode Lauresen and to avoid any delay ist to conatct Bjarne Sørensen (bjhoj@frode-laursen.com).

If necessary, we can set up a quick meeting with them to get the clarification. 

I have a status meeting at 09:00 CET. Could you please tell me when the PRICAT channel will be ready? Thanks!

Thanks, 
Hamed


",-0.8740767624196156,,
TS001922703,Wells Dairy Inc,Customer,"Hi - thanks for looking into this. Can you let me know what you find out?


Thanks,
Sarah?
",-0.6540624017911805,,
TS002020055,CEVA LOGISTICS,Customer,"Hi, Please take Jaipur out of the map's name. Then please email me the new map, and add the link to the map on this case. Thank you
",-0.8283963157597044,,
TS002138707,"Hitachi Metals America, Ltd",Customer,"Ford 830:
Requested update on  Map HITM_HMAC_FORDMAIL_I_830_2001FORD, Referencing PID1653736491 4-6-19

Map working as expected on pid 1644953519 3/23, copy made to PID 1644974966 3/23
Currently copy isn't being made. reference 1660871045 4/18/19


Honda 850:

requested update on  Map HITM_HONDA_HR_I-850_4010, referencing PID 1657467433 4/12/19
Maps Working as expected on 4/4/19 ref original PID165612578, copy of data made and sent email on PID 1652611602

Currently getting 1st 850- PID 1660103895 4/17, then copy failing  ref 1660104728 4/17



",-0.7871381483709831,,
TS001529916,Tesla Motors,Customer,"Hi Albert,

I am checking the information with TP on this.

Regards,
Arjun

",0.5895328871238958,,
TS001474677,Phadia AB,Customer,"please communicate with the other IBM resource which attended the call, I didn't get hie mail address
thanks 
HP
",-0.7684877692408383,,
TS001961135,Leggett & Platt Incorporated,Customer,"Hi Madhu,

I have uploaded an updated source and compiled map as well as test files. Can you please update CTE with these.

Thanks,
Colin Nichols?
",0.5510537304150713,,
TS002105150,Kennametal Inc,Customer,"Hi Raja,
Test is OK now, but I need one more thing. Could you please add to the IF clause  ""DEL-ACCT ""
DEL-ACCT +  space, 9 digits. Now we will have 2 conditions:
""DEL-ACCT#?""   with hash
""DEL-ACCT ""     with space


IF strstr(#?0933,""""DEL-ACCT#?"""") != -1 OR strstr(#?0933,""""DEL-ACCT """") != -1  then
Begin
  $850.#?TEMP_E2EDKA1003_LIFNR_SP_NEW = mid(#?0933,9,len(#?0933));
  $850.#?TEMP_E2EDKA1_KNREF_NEW      = mid(#?0933,9,len(#?0933));
End

ELSE
 $850.#?TEMP_E2EDKA1003_LIFNR_SP_NEW = """"TBESTWAY"""";""


",-0.6582163375335321,,
TS001474677,Phadia AB,Customer,"No Rajni,
as discussed with Elias and agreed last week we will NOT have two different connections with Roche and Synlab
please refer to the notes I sent ( attached as well )and work towards the tasks written down
question : is the certificate you Libor then the same for Synlab? if yes forward to Elias
 
",-0.9639107505557724,,
TS001922703,Wells Dairy Inc,Customer,"We've been making quite a few changes like this, so I'm not sure if that file took care of them all or not. ?I'll try to see if we can figure out a way to check and get back to you.....do you know of any easy ways we could verify? 
",-0.8056232631908409,,
TS002020055,CEVA LOGISTICS,Customer,"Hi,  Okay I will test the 214 internally.
",0.5724286536444987,,
TS002138707,"Hitachi Metals America, Ltd",Customer,"Currently I have 2 maps not working, that worked before changes

",-0.6948007362378879,,
TS002138707,"Hitachi Metals America, Ltd",Customer,"We need the EMAIL distribution fixed.  We still aren't getting these.  please reverse all changes and give to level 2.  this should have been a simple distribution update.

",-0.6073137446450622,,
TS001474677,Phadia AB,Customer,"please see inbound order PID: 228e1583-9728-4e5c-9fc7-f56e6e604a31
?
",0.8315278521379817,,
TS001850415,Lindt & Sprüngli International AG,Customer,"Hi Alagappan, 

Enclosed you ll find an updated PER Form. I need you to understand that in this project due to the intensity and time pressure, some decisions, such as Go Live dates for each interface or naming conventions of inbound interfaces, are made during the development and testing. I know it's not ideal, but that' how it is.

It is important that the first outbound interface is ready on your end by this Monday at 10:00 CET.

I you need any further information, feel free to contact me. 

Thank you for your understandung. 
Hamed
",-0.6808064326370054,,
TS001961135,Leggett & Platt Incorporated,Customer,"Hello Sabiya,

I've sent a test file through CTE and encountered an enveloping error. Can you please give me more information on this error.
PID: 15334921

Thank you,
Colin Nichols ?
",-0.8322237924073093,,
TS001985818,Innovative Hearth Products,Customer,"<p>Thanks. following is the message by our consultant after reviewing outgoing 810 file.  After making the required change, please send us the unit test results and and also reprocess the process ID 1404297270</p><p></p><p>Hi Omer ?</p><p>There are a couple things off on the 810:</p><p>&nbsp;</p><p>-Missing DTM segment ? this is documented on mapping spec and should be added</p><p>-SAC segment should not be generated if corresponding E2EDK05-KSCHL values listed in spec are not included in the IDoc.&nbsp;Currently, the SAC01 element is present with no corresponding charge information:</p><p>&nbsp;</p><p>ISA*00*&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;*00*&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;*01*054794466T&nbsp;&nbsp;&nbsp;&nbsp;*ZZ*CUIHEAT&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;*190412*0701*U*00401*000000013*0*T*|~</p><p>GS*IN*054794466T*CUIHEAT*20190412*0701*3*X*004010~</p><p>ST*810*0003~</p><p>BIG*20190411*0545076317*20190403*01008531***DI~</p><p>CUR*SE*USD~</p><p>REF*BM*1000505033~</p><p>REF*CN*11229988~</p><p>REF*IA*3900~</p><p>N1*RI*Innovative Hearth Products, LLC~</p><p>N3*PO Box 71714~</p><p>N4*Chicago*IL*60694-1714*US~</p><p>N1*ST*CUI DISTRIBUTION - SC*92*10~</p><p>N3*1026 OLD STAGE ROAD~</p><p>N4*SIMPSONVILLE*SC*29681*US~</p><p>ITD*01*1****20190511*30*****NET 30 DAYS~</p><p><b>DTM*011*20190411~ &lt;-MISSING</b></p><p>IT1*000002*80*EA*29.25**VP*F0932*BP*12-12DM*UP*043593042637~</p><p>IT1*000004*13*EA*112.5**VP*12M07*BP*12M07~</p><p>IT1*000006*2*EA*72**VP*5FLEX15*BP*5FLEX15*UP*778272635410~</p><p>IT1*000007*1*EA*101.62**VP*69L62*BP*69L62~</p><p>IT1*000008*1*EA*14.25**VP*74L21*BP*74L21~</p><p>IT1*000009*5*EA*135.37**VP*F1002*BP*BDG36*UP*043593041937~</p><p>IT1*000010*1*EA*150.75**VP*F1003*BP*BDG36B*UP*043593041920~</p><p>IT1*000011*3*EA*440**VP*F3208*BP*BRT4336TEN-B*UP*043593067005~</p><p>IT1*000014*12*EA*88.5**VP*H7289*BP*BLPK40TB*UP*043593059123~</p><p>IT1*000015*1*EA*540.37**VP*F2264*BP*BZLB-BLNI-RAP54*UP*043593069696~</p><p>IT1*000016*1*EA*184.87**VP*F2269*BP*BZLB-BLS-RAP42~</p><p>IT1*000017*10*EA*22.88**VP*H8539*BP*CRSHGL-C*UP*043593059086~</p><p>IT1*000018*5*EA*22.87**VP*H8538*BP*CRSHGL-GF*UP*043593059079~</p><p>IT1*000019*2*EA*419.63**VP*F2256*BP*CSB-BLS-RAP54*UP*043593055385~</p><p>IT1*000025*1*EA*109.12**VP*F1026*BP*DC368ST*UP*043593041692~</p><p>TDS*928874~</p><p><b>SAC*C~ &lt;- SHOULD NOT BE INCLUDED IN DOCUMENT ? NO CHARGE ON THIS INVOICE</b></p><p>CTT*15*9288.74~</p><p>SE*32*0003~</p><p>GE*1*3~</p><p>IEA*1*000000013~</p><p></p>",-0.9900467235924808,,
TS001529916,Tesla Motors,Customer,"Test transmission sent for the TP failed with enveloping issue.

Process ID : 24513853 , 24513854


",0.709786389769523,,
TS001803786,Atalanta Corporation,Customer,"also you most send the IT101 line number
",0.6071102819793951,,
TS001922703,Wells Dairy Inc,Customer,"Hi Pamm - just wondering if you have an update on this issue.

Thanks?
",0.6293778548292804,,
TS002138707,"Hitachi Metals America, Ltd",Customer,"no this was working until the email update.  Referencing PID 1657467433 4/12/19
?
",-0.7755549972395359,,
TS001766787,Tesla Motors,Customer,"Checking with TP on this 
",0.6431976124104269,,
TS001803786,Atalanta Corporation,Customer,"I just notice that the VN  is not included please hard code to send the VN with the info below.
N1*VN*ATALANTA CORPORATION*92*0069804450001
",-0.9126814384759454,,
TS001850415,Lindt & Sprüngli International AG,Customer,"By ""Could you please start the PRO configuration and inform me once its done?"" I mean the first outbound interface PRICAT to frode laursen.

Thanks, 
hamed
",-0.8941746074785012,,
TS001985818,Innovative Hearth Products,Customer,"I am attaching the outgoing 810 test IDoc. Please translate and send to CUI with the test ID and connection

Please let me know the processing ID once done.
",-0.8637796273020473,,
TS002105150,Kennametal Inc,Customer,"<p>Hi Raja,</p><p>I ran a test PID#&zwnj;34177314,  ORDER#&zwnj;7525181-05,  Please see values in the output file:</p><p>LIFNR-&gt;542660&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;KNREF -&gt; CCT#&zwnj;542660&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p><p>Please fix it, double check&nbsp;before deploy</p><p></p><p></p>",0.7913060566416305,,
TS001529916,Tesla Motors,Customer,"TP is still working on EDI setup
",0.5349472628854866,,
TS001803786,Atalanta Corporation,Customer,"also now they want on the n103 and n104 for the VN

N1*VN*ATALANTA CORPORATION*92*0069804450001
",-0.5791672274067492,,
TS001850415,Lindt & Sprüngli International AG,Customer,"Hi Alagappan

This intense project has 6 interfaces. They will be tested extensively and taken live one by one. The following sequence will be considered:

- Sending Pricat message to warehouse --  Outbound Interface LS(IDoc MATMAS)-TO-FL(PRICAT96A-EDIFACT)
- Inbound Interface FL(DESADV01B-EDIFACT)-TO-LS (WHSCON.DELVRY03 - IDoc)
- Outbound Interface LS( IDoc DESADV)-TO-FL(DESADV01B-EDIFACT)
- Outbound Interface LS(IDoc SHPORD)-TO-FL(ORDERS01B-EDIFACT)
- Inbound Interface FL(INVRPT01B-EDIFACT)-TO-LS(Idoc MBGMCR)
- Inbound Interface FL(RECADV01B-EDIFACT)-TO-LS(IDoc WHSCON)

The first Interface need to ready in PROD on this Monday. But we also need to master data today. 

Could you please start the PRO configuration and inform me once its done? 

Thanks, 
Hamed
",-0.5246112572449979,,
TS001961135,Leggett & Platt Incorporated,Customer,"Hi Sabiya,

I have uploaded the updated source and compiled map as well as test files. 

Thanks,
Colin Nichols?
",-0.7581554685693286,,
TS001985818,Innovative Hearth Products,Customer,"We will most probably get traction this case and other MAP cases this week. I will let you know once CUI sends the documents.
",-0.5955343683026972,,
TS002138707,"Hitachi Metals America, Ltd",Customer,"we are seeing failures on the Honda 850 distribution map, was it updated incorrectly also?
PID 1659311576 4/16
",-0.7294492936868869,,
TS001474677,Phadia AB,Customer,"Hi Rajni,
thanks for the URLs I'll change the Settings to cxml transfer at the Ariba portal
and the account reference is towards our SAP Internal accounts 
so i got it right no Envelopes for inbound or outbound ?
thanks
HP
?
",-0.6519910903615765,,
TS001803786,Atalanta Corporation,Customer,"please change the N103 from 9 to 92.

N1*RI*ATALANTA CORPORATION*9*0069804450001~
",-0.6919803210747355,,
TS001529916,Tesla Motors,Customer,"Below mentioned the comments received from TP

Root Certificate file is VeriSign Universal Root Certification Authority.cer
CA Certificate file is Symantec Class 3 Secure Server SHA256 SSL CA.cer
Company certificate file is missing or not sent!

You didn't send a company certificate! 
Our certificate view is as follows for example.
For example, the third level certificate (your company certificate) did not come from you.

",-0.8954022608108972,,
TS001766787,Tesla Motors,Customer,"Hi Sumanth,

Test transmission for the TP failed in CTE. Please check.

Process ID : 23584479 and 23584478

Regards,
Arjun
",-0.5492040893585375,,
TS001850415,Lindt & Sprüngli International AG,Customer,"Hello Alagappan,

We are ready to use the first interface in PROD environment. Could you please confirm that it's also ready on your end? 
If Yes, then we will start to send LSSE_FL_5790000000548_PRICAT_PROD-<timestamp>.EDI files to /usr/sap/temp/LP0/sci/se/prod/outbound.

Thanks, 
Hamed
",-0.7631064086503796,,
TS001922794,"Schneider Enterprise Resources, LLC",Customer,"Hello, Shane has worked the map. Email sent to Shane 04/25. Update is in the child ticket. Thanks,Nance?
",0.6429244030810433,,
TS001529916,Tesla Motors,Customer,"closing the case , passed the cert info to TP
",0.5184045555880928,,
TS001803786,Atalanta Corporation,Customer,"good send to production
",0.9512978752334723,,
TS001985818,Innovative Hearth Products,Customer,"I need someone from IBM to give status update on ticket TS001985818, TS00198580, and TS001985808 on the call tomorrow with the client CUI. Call is at 11:00 AM PST time.

Dial-In Number: 1-218-339-7800
    Access Code:  4451737

Please let me know if you are able to make it as I need someone on the call to give status.

Thanks,

Omer
",-0.8817922561386272,,
TS002138707,"Hitachi Metals America, Ltd",Customer,"Business is stating they didn't receive the email from 4/13.  PID is showing Red status error, can someone please check PID 1658136681 4/13/19 and PID 1658115366 4/13
",-0.803055379328146,,
TS001850415,Lindt & Sprüngli International AG,Customer,"Great, I'll send some other files to test. 

Should i keep the filename convention as LSSE_5790000000548_PRICAT_TEST*.EDI?

Thanks, 
Hamed
",0.734155184142068,,
TS001922794,"Schneider Enterprise Resources, LLC",Customer,"Hello, sent meeting invite for 10 00 a.m. 04/23. Thanks,Nance?
",0.8303134796004619,,
TS001474677,Phadia AB,Customer,"Hi sorry for the Delay
the test order processed by Synlab did not reach Ariba
we have set the the Ariba test environment to Mail + Cxml file, so I would pick it up and send it
I think we are that far to switch to the automatic network delivery Right ?
so there is some things we need to touch base again
lets have a status call?
",-0.6253543990998437,,
TS001850415,Lindt & Sprüngli International AG,Customer,"Let me know if you need any further information. 
Thanks, 
Hamed
",-0.8346220568633127,,
TS001922794,"Schneider Enterprise Resources, LLC",Customer,"
Hi Shane,
I will be scheduling a meeting for us and will try to get it in this week yet. If it would assist, please see map ?SNI_SNC_3MGLOBAL_O_210_4010 where the same logic is working correctly. I added more detail on the current testing to the child ticket. Thanks,Nance
",-0.5770427005909373,,
TS002020744,Premier Farnell Ltd.,Customer,"There are some additional codelist entries (only 4) required as part of this setup for the new TP lookup code SKYHIGH.  I have attached a list

Regards
Andre Hill
",-0.9365093012602267,,
TS001781273,Tesla Motors,Customer,"Test 850 transmission for TP code failed. Please check.

Process ID : 23948257

",0.5225386359034891,,
TS001475541,"Schneider Enterprise Resources, LLC",Customer,"Hi,

Can you please back out the last Map Change Request from 2019.04.09?  This is causing issues. 

Please let me know when this complete and I will retest!

Thank you,
Karla


",-0.8691246709276174,,
TS001803786,Atalanta Corporation,Customer,"<p>Hello,</p><p>I have 3 more changes:</p><p>sorry i had this remove they wanted a different code.</p><p>please add back the N101*RE and change the RE to RI also add it again and then add VN with no Duns number.</p><p>""INVOICE_ADDRESS"",""RE"",""0069804450001"",""9"",""ATALANTA CORPORATION"","""","""",""PO BOX 74008466"","""",""CHICAGO"",""IL"",""60674-8466"",""USA""</p><p></p><p>SHOULD BE LIKE THIS:</p><p>N1*BT*GORDON FOOD SERVICE&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;(EDI)*92*0064000980000~</p><p>N3*P.O. BOX 2825~</p><p>N4*GRAND RAPIDS*MI*49501-2825*USA~</p><p>N1*ST*GFS MID ATLANTIC - MD, ABERDEEN*92*0064000980017~</p><p>N3*504 ADVANTAGE WAY~</p><p>N4*ABERDEEN*MD*21001*USA~</p><p>N1*RI*ATALANTA CORPORATION&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;*92*0069804450001~</p><p>N3*P.O. BOX 74008466~</p><p>N4*CHICAGO*IL*60674-8466*USA~</p><p>N1*VN*ATALANTA CORPORATION</p><p>N3*P.O. BOX 74008466~</p><p>N4*CHICAGO*IL*60674-8466*USA~</p><p></p><p></p><p>For IT1 and CTP when and Item is by the pound LB on quantity and PP for price you will need to swap the quantity and change the um to CA. So sorry this is so complicated.</p><p></p><p>when we send ""ITEM"" like this ITEM PER LB:</p><p>""ITEM"",""4"",""071270352304"",""UA"",6.0494,""LB"",3.8500,""PP"",""BLUE, GREEN ISLAND 1/6 LB""</p><p>""ITEM_DETAILS"",,,,1.00,""CA"",,""""</p><p>""ITEM_ID"",""293010"",""VN""</p><p>""ITEM_SHIP_TO"",1.00,""CA"","""",""""</p><p></p><p>This should go out like this: </p><p>And this is only for the items that are per LB when it's by the case they are ok.</p><p></p><p>IT1**1*CA*3.85*PP*VN*293010***UA*071270352304~</p><p>CTP**NET*6.0494*****23.29019~</p><p></p><p></p><p></p><p>Please let me know if you need more information.</p><p>THANK YOU</p><p></p><p></p><p></p><p></p><p></p>",-0.7566115083876372,,
TS001850415,Lindt & Sprüngli International AG,Customer,"Hi, 

Your requirment wasnt clear to me.  I sent another sample file ""LSSE_5790000000548_PRICAT_TEST-20190206-153618-900.EDI"". 

Thanks, 
Hamed
",0.5430379768229489,,
TS002020744,Premier Farnell Ltd.,Customer,"PER is auto-approved as it falls within our expectations of £100 per message.  I know the Codelist changes are on top but these are minor charges too so I am allowed to approve them on behalf of Craig.  If you need his ok for me to do this then please email him.

Regards
Andre Hill
",-0.8320562802235473,,
TS002138767,CEVA LOGISTICS,Customer,"Hi Julie,

Do you have any code list lookup for the same destination MSID.

Regards,
Sadguna
",0.6788839810623545,,
TS001475541,"Schneider Enterprise Resources, LLC",Customer,"Hi,
We are continuing to test.
Thank you,
Karla
",0.613833415669792,,
TS001922794,"Schneider Enterprise Resources, LLC",Customer,"Hello, map output is not as expected. I updated the child ticket with this:
thanks, Nance
Example 1: CTE pid  e09ed5e7-b88e-4b8b-b7b6-7793500d4c28 FROM 03/29. Redlight for conditional relationship error. The SHIPPER and CONSIGNEE N1*04?s should have populated from the code list but did not. The BILL_TO should stay the same as it was in the xml as there was no codelist entry for it.

 Example 2: CTE pid a6902fbc-1826-40e8-809d-41ba67cb14dc from 03/29. Reference number 34609019. The N1*04 for the SHIPPER should have populated from the code list but did not.

 
?
",-0.9114392859810497,,
